student_id,consent_given,consent_time,method
S0000,True,2023-12-04 08:54:13.000420,digital
S0001,True,2025-05-20 08:38:41.655396,digital
S0002,False,2024-07-03 19:30:17.166834,form
S0003,True,2025-05-09 17:45:09.309195,email
S0004,True,2023-09-15 17:07:04.110010,form
S0005,True,2024-12-05 08:12:33.995606,form
S0006,True,2024-07-12 19:40:39.205382,email
S0007,True,2024-11-12 10:51:44.746503,form
S0008,False,2024-01-12 01:00:31.000760,form
S0009,True,2024-10-20 08:37:13.406890,digital
S0010,True,2025-01-31 11:30:05.723930,email
S0011,True,2024-12-23 17:18:25.407554,form
S0012,True,2023-07-12 07:36:40.824701,form
S0013,True,2024-08-14 18:50:00.962831,form
S0014,True,2025-04-03 19:46:09.259300,digital
S0015,True,2023-12-20 16:47:00.934333,email
S0016,False,2024-01-20 01:52:36.490484,digital
S0017,True,2025-02-07 23:10:44.149468,email
S0018,False,2025-01-01 00:00:32.946591,email
S0019,False,2024-10-27 18:37:11.458123,email
S0020,True,2024-08-06 14:31:19.822895,form
S0021,True,2024-09-17 16:58:00.252667,form
S0022,False,2025-01-31 03:19:11.620118,digital
S0023,False,2024-07-18 14:01:13.056043,digital
S0024,False,2023-11-08 03:04:20.852886,digital
S0025,True,2024-06-24 13:32:16.552568,digital
S0026,True,2024-07-17 10:07:06.364523,email
S0027,False,2023-10-14 09:36:50.305553,digital
S0028,True,2023-07-11 18:49:18.181787,form
S0029,True,2025-01-08 20:34:54.076960,form
S0030,False,2025-01-09 17:30:14.365767,digital
S0031,True,2024-04-29 02:10:00.242401,email
S0032,False,2024-03-02 19:10:16.671479,email
S0033,False,2024-06-12 20:43:40.123466,email
S0034,False,2023-11-11 08:38:34.000898,digital
S0035,True,2024-12-13 15:39:09.810479,form
S0036,False,2024-12-05 01:51:53.130913,digital
S0037,True,2024-05-02 19:58:20.117893,email
S0038,False,2024-11-16 22:08:21.455542,form
S0039,True,2024-01-12 03:16:41.152237,email
S0040,False,2023-11-20 04:41:01.616993,digital
S0041,False,2024-04-16 02:35:16.847869,email
S0042,True,2025-03-03 11:41:29.895032,digital
S0043,True,2024-09-08 22:12:23.501804,digital
S0044,True,2024-08-12 11:53:32.162800,email
S0045,True,2023-09-05 16:19:54.243677,form
S0046,False,2024-06-06 04:03:19.216436,digital
S0047,True,2023-11-17 20:37:06.875704,digital
S0048,True,2023-12-23 08:55:08.343102,email
S0049,True,2023-07-30 22:43:58.754773,digital
S0050,False,2024-02-28 00:54:50.751864,email
S0051,False,2024-06-05 19:48:15.193759,email
S0052,False,2023-12-20 15:45:20.036174,email
S0053,False,2024-02-26 01:14:58.453214,email
S0054,True,2023-12-10 17:30:42.665094,form
S0055,False,2025-05-26 22:11:27.767060,form
S0056,False,2023-07-09 11:47:46.064531,digital
S0057,True,2023-08-22 04:49:40.410268,email
S0058,False,2024-08-13 07:49:29.350749,form
S0059,True,2023-10-05 13:28:21.453966,digital
S0060,True,2024-04-22 12:32:35.898825,form
S0061,True,2023-07-29 12:57:18.801192,form
S0062,True,2024-06-02 16:24:07.019836,form
S0063,False,2024-07-22 06:45:15.331945,email
S0064,False,2024-12-18 00:46:45.118392,email
S0065,False,2023-09-10 10:43:44.049726,form
S0066,True,2025-06-19 11:58:56.001118,form
S0067,False,2024-08-01 04:57:39.788967,form
S0068,True,2024-12-03 06:54:57.729157,digital
S0069,True,2023-12-05 17:29:57.870953,form
S0070,True,2023-12-01 04:49:54.219032,form
S0071,False,2024-03-24 09:45:59.115449,digital
S0072,False,2023-07-24 05:39:39.392723,digital
S0073,False,2023-07-06 00:48:35.550053,form
S0074,True,2024-08-29 15:29:25.916511,email
S0075,True,2023-09-23 08:22:33.376913,email
S0076,False,2024-01-18 07:45:29.892487,digital
S0077,True,2024-08-30 11:14:30.394981,form
S0078,False,2024-05-21 02:03:12.748434,email
S0079,False,2023-11-27 05:17:49.759851,email
S0080,False,2024-03-02 10:43:17.796363,digital
S0081,True,2023-12-17 09:36:24.023798,digital
S0082,False,2023-09-22 06:06:26.476156,form
S0083,True,2025-02-04 19:53:32.766906,digital
S0084,True,2025-01-25 08:54:24.004478,form
S0085,False,2024-07-23 16:14:45.523332,digital
S0086,False,2024-09-29 00:55:51.432016,digital
S0087,False,2025-01-03 07:39:03.451952,email
S0088,False,2023-07-29 18:06:22.057727,email
S0089,True,2024-11-11 18:53:18.747135,digital
S0090,True,2024-07-26 17:35:55.791842,email
S0091,False,2024-10-19 15:08:42.120005,digital
S0092,True,2024-11-16 19:22:04.977516,email
S0093,True,2023-07-02 03:10:12.338954,digital
S0094,True,2025-03-03 14:05:22.192741,email
S0095,True,2025-02-13 08:07:40.362738,email
S0096,True,2023-12-02 12:49:24.184568,form
S0097,False,2024-04-23 07:22:00.573373,form
S0098,True,2024-02-24 02:10:34.175735,digital
S0099,False,2023-08-31 06:57:12.787712,email
S0100,False,2024-08-26 06:29:15.683115,email
S0101,False,2025-05-03 01:04:22.069069,form
S0102,False,2024-01-16 07:42:20.168133,email
S0103,True,2024-05-04 11:32:29.590930,email
