enrollment_id,student_id,course_id,term,status
e1568ad3-f525-4556-bb98-abdf71ec02ad,S0000,C002,First Semester 2023,active
5a1ba9db-1466-4189-9ca4-3e7168f0e5f2,S0001,C002,First Semester 2023,active
ea258d83-1391-418a-8171-d9558f7a1e43,S0001,C001,First Semester 2023,dropped
9aef9aec-7bf1-4cf4-a740-a1425cbf7ee6,S0002,C002,Second Semester 2024,active
6b39c4dc-c94b-4a6f-b2ef-917e3af834f2,S0003,C001,First Semester 2023,dropped
d3a81c4f-d3ec-4562-91c0-69ee3ad1c48f,S0003,C002,Second Semester 2024,active
89a1321d-ecfb-4936-a012-6ebbfc9b519a,S0003,C004,First Semester 2023,dropped
68599dc4-e8c5-43b0-86c5-50543eb4a527,S0004,C002,First Semester 2023,completed
235d2722-aa78-48aa-95b2-868bac92275a,S0005,C003,First Semester 2023,active
49714ec3-cbbd-4732-82a1-a4299b050a6c,S0006,C001,Second Semester 2024,dropped
14dd9314-1e32-43e1-9058-1a4a57713fff,S0006,C004,First Semester 2023,dropped
fbb61ff7-8149-4136-abc8-22f46893a38a,S0007,C004,Second Semester 2024,completed
a1f40627-7e83-4815-9375-819525fd72f4,S0008,C001,First Semester 2023,dropped
e65e0ac3-32b6-4533-85cc-0fb0e1a62208,S0008,C002,Second Semester 2024,completed
03f89c7b-743d-403a-a05c-1fb92e0ef4aa,S0008,C004,First Semester 2023,active
436c9e18-6b2b-4c27-9eec-04802ab18038,S0009,C004,First Semester 2023,completed
ee1caec8-b61d-4f43-8df8-dff9c3f86f2d,S0009,C002,Second Semester 2024,active
205b9db8-19da-4534-be2b-adee7848c332,S0010,C003,First Semester 2023,active
6e718848-d577-4131-88b9-2ed4de94da10,S0011,C003,Second Semester 2024,completed
fd6c47e3-2abc-4b2f-b0a6-e45706205f4a,S0012,C003,First Semester 2023,dropped
ddebd8d4-83d0-4bac-a1e3-823812b1178b,S0012,C002,First Semester 2023,dropped
e77d9bec-635b-429c-ab2a-e08b8780d6ca,S0012,C004,First Semester 2023,completed
66fe47b3-20a0-4244-9ab7-d8b26c1fb2fc,S0013,C002,Second Semester 2024,completed
